waypoint class initialized
waypoint class initialized
pose 6771.31 5383.9
next 6771.31 5383.04
pose 6771.31 5383.59
next 6771.31 5382.8
pose 6771.3 5383.44
next 6771.3 5382.69
pose 6771.3 5383.44
next 6771.3 5382.69
pose 6771.29 5383.05
next 6771.29 5382.4
pose 6771.29 5383.05
next 6771.29 5382.4
pose 6771.3 5382.97
next 6771.29 5382.34
pose 6771.3 5382.81
next 6771.3 5382.22
pose 6771.3 5382.66
next 6771.3 5382.1
pose 6771.3 5382.34
next 6771.29 5381.39
pose 6771.3 5382.18
next 6771.29 5381.31
pose 6771.29 5382.02
next 6771.29 5381.23
pose 6771.29 5382.02
next 6771.29 5381.23
pose 6771.28 5381.71
next 6771.28 5381.07
pose 6771.28 5381.71
next 6771.28 5381.07
pose 6771.28 5381.55
next 6771.28 5380.99
pose 6771.28 5381.39
next 6771.29 5380.44
pose 6771.29 5381.23
next 6771.29 5380.44
pose 6771.29 5380.92
next 6771.29 5380.44
pose 6771.29 5380.92
next 6771.29 5380.44
pose 6771.25 5380.61
next 6771.29 5380.44
pose 6771.25 5380.61
next 6771.29 5380.44
pose 6771.24 5380.45
next 6771.29 5380.44
pose 6771.3 5380.08
next 6771.3 5379.5
pose 6771.3 5380.08
next 6771.3 5379.5
pose 6771.4 5379.9
next 6771.39 5379.34
pose 6771.48 5379.79
next 6771.46 5379.24
pose 6771.48 5379.79
next 6771.46 5379.24
pose 6771.55 5379.65
next 6771.52 5379.13
pose 6771.58 5379.36
next 6771.52 5378.38
pose 6771.58 5379.36
next 6771.52 5378.38
pose 6771.49 5379.03
next 6771.45 5378.13
pose 6771.47 5378.97
next 6771.43 5378.09
pose 6771.47 5378.97
next 6771.43 5378.09
pose 6771.4 5378.69
next 6771.39 5377.88
pose 6771.41 5378.48
next 6771.39 5377.72
pose 6771.41 5378.48
next 6771.39 5377.72
pose 6771.42 5378.4
next 6771.4 5377.66
pose 6771.43 5378.11
next 6771.41 5377.44
pose 6771.43 5378.11
next 6771.41 5377.44
pose 6771.43 5377.97
next 6771.4 5377.33
pose 6771.43 5377.82
next 6771.4 5377.22
pose 6771.41 5377.6
